,bitcoin,ethereum,tether
2020-01-05 06:07:46.679,22211792152.173817,,
2020-01-05 06:47:38.829,,,24766792305.86548
2020-01-05 07:07:38.195,,6822469918.17221,
2020-01-05 07:09:23.861,21967310374.69132,,
2020-01-05 07:43:05.639,,,24570548697.64289
2020-01-05 08:00:41.566,,7245386607.35772,
2020-01-05 08:08:57.732,22043012623.98361,,
2020-01-05 08:26:07.610,,,24634606789.677086
2020-01-05 09:02:48.839,22099578849.739132,,
2020-01-05 09:05:23.926,,6902378161.209708,
2020-01-05 09:25:53.893,,,24634321705.05471
2020-01-05 10:09:12.749,,7284213386.80595,
2020-01-05 10:09:25.599,21946792830.55884,,
2020-01-05 10:42:39.013,,,24691371954.91063
2020-01-05 11:02:58.018,,7247227642.585262,
2020-01-05 11:05:35.840,21706747516.074245,,
2020-01-05 11:29:07.525,,,24532995040.86721
2020-01-05 12:00:32.538,,7554420487.971663,
2020-01-05 12:07:41.235,20662027511.779694,,
2020-01-05 12:37:22.930,,,24707964594.801754
2020-01-05 13:02:56.933,,7223246128.931436,
2020-01-05 13:03:05.702,22411038091.34027,,
2020-01-05 13:39:31.432,,,24568344872.786674
2020-01-05 14:04:30.830,21722125020.69071,,
2020-01-05 14:04:55.972,,7011835988.94578,
2020-01-05 14:34:32.600,,,24675940706.995136
2020-01-05 15:04:58.509,21968948494.455856,,
2020-01-05 15:09:00.950,,7138043385.228216,
2020-01-05 15:39:48.695,,,24827533436.145718
2020-01-05 16:02:45.102,22576522713.94424,,
2020-01-05 16:04:24.327,,7354837914.34699,
2020-01-05 16:20:09.202,,,25367726727.171257
2020-01-05 17:02:38.802,,7498822226.478496,
2020-01-05 17:04:27.479,23073948667.44547,,
2020-01-05 17:19:51.449,,,25768241488.244843
2020-01-05 18:02:57.154,,7695472500.579666,
2020-01-05 18:04:51.641,22571593597.746,,
2020-01-05 18:39:35.491,,,25689883277.735413
2020-01-05 19:05:01.153,,7689219809.998712,
2020-01-05 19:05:10.030,21786943692.76646,,
2020-01-05 19:39:47.280,,,24996645538.034203
2020-01-05 20:04:41.152,,7645435000.798672,
2020-01-05 20:04:49.344,21692818649.537285,,
2020-01-05 20:34:53.460,,,24849377674.756165
2020-01-05 21:00:36.903,,7645021443.483943,
2020-01-05 21:04:57.214,21425596383.636166,,
2020-01-05 21:38:57.075,,,24785219529.227776
2020-01-05 22:04:46.258,,6975296975.94393,
2020-01-05 22:05:39.600,22040866141.489643,,
2020-01-05 22:26:16.511,,,25027836522.533943
2020-01-05 23:04:30.566,,7639239165.646733,
2020-01-05 23:09:10.822,21508052449.595253,,
2020-01-05 23:45:03.399,,,25368529147.675484
2020-01-06 00:04:58.636,21929224570.56102,,
2020-01-06 00:05:22.330,,7449189906.322322,
2020-01-06 00:44:33.393,,,25704344808.12953
2020-01-06 01:09:40.116,22212383056.928383,,
2020-01-06 01:09:47.883,,7654315635.274783,
2020-01-06 01:37:00.698,,,25002459710.32305
2020-01-06 02:02:42.902,,7671187105.446341,
2020-01-06 02:02:51.693,21883669619.63204,,
2020-01-06 02:39:04.982,,,25820190240.196495
2020-01-06 03:02:22.401,,7942245085.203332,
2020-01-06 03:09:34.238,22913041942.21232,,
2020-01-06 03:34:52.154,,,26720012892.428753
2020-01-06 04:05:40.599,23627260182.316353,,
2020-01-06 04:07:24.938,,8311176533.931429,
2020-01-06 04:39:42.226,,,26928381107.10394
2020-01-06 05:05:27.321,23601141460.261456,,
2020-01-06 05:07:18.122,,7989859907.173683,
2020-01-06 05:42:55.914,,,26996868880.269516
2020-01-06 06:04:54.268,,8242947465.229546,
2020-01-06 06:09:46.043,23626189354.488075,,
2020-01-06 06:34:27.172,,,26965197233.571396
2020-01-06 07:02:52.179,23552341036.04303,,
2020-01-06 07:08:55.531,,8043300560.573304,
2020-01-06 07:19:20.553,,,27108156293.134644
2020-01-06 08:02:30.088,,8114355981.423332,
2020-01-06 08:09:35.904,23486875648.12525,,
2020-01-06 08:32:46.704,,,27132788332.078197
2020-01-06 09:02:27.205,23814589632.96549,,
2020-01-06 09:02:52.653,,8403646278.256392,
2020-01-06 09:37:28.206,,,27454490479.583534
2020-01-06 10:02:32.253,24022503517.5301,,
2020-01-06 10:04:46.116,,8376187863.554193,
2020-01-06 10:39:30.485,,,27930586737.095497
2020-01-06 11:02:26.761,24380951935.87353,,
2020-01-06 11:02:35.119,,8127887189.226649,
2020-01-06 11:30:00.635,,,28472399128.03947
2020-01-06 12:02:27.483,24764942458.352043,,
2020-01-06 12:02:32.855,,9045477706.022984,
2020-01-06 12:20:13.742,,,28897679944.325264
2020-01-06 13:04:27.495,,8649203487.507694,
2020-01-06 13:05:55.659,25034271586.77523,,
2020-01-06 13:24:55.218,,,29155547205.14582
2020-01-06 14:04:04.768,,10300975161.164598,
