,bitcoin,ethereum,tether
2020-01-07 08:03:01.197,,15570691363.124756,
2020-01-07 08:25:04.482,,,4284214212.6653285
2020-01-07 09:04:01.442,142500937461.3566,,
2020-01-07 09:10:00.857,,15600992953.347399,
2020-01-07 09:29:38.467,,,4284482484.605036
2020-01-07 10:02:56.143,,15590880056.298193,
2020-01-07 10:04:13.948,142669869218.67703,,
2020-01-07 10:34:54.268,,,4284173388.051848
2020-01-07 11:06:04.449,142695631308.9944,,
2020-01-07 11:06:09.282,,15581694314.070496,
2020-01-07 11:39:53.528,,,4288153387.6371694
2020-01-07 12:12:09.052,142737084869.9425,,
2020-01-07 12:12:12.596,,15560400920.357613,
2020-01-07 12:45:07.616,,,4279518065.18671
2020-01-07 13:02:42.590,,15413059258.659071,
2020-01-07 13:09:56.263,142357024083.3074,,
2020-01-07 13:44:17.190,,,4281040666.1433992
2020-01-07 14:05:05.361,,15362888998.317528,
2020-01-07 14:10:24.311,142219382925.85022,,
2020-01-07 14:34:31.986,,,4285041350.671501
2020-01-07 15:02:46.389,142342927263.54083,,
2020-01-07 15:04:29.814,,15385163083.953793,
2020-01-07 15:49:17.451,,,4283695012.177955
2020-01-07 16:02:31.794,141025698478.17126,,
2020-01-07 16:02:41.059,,15240847402.516815,
2020-01-07 16:35:27.671,,,4284849642.552073
2020-01-07 17:00:55.058,143418885275.8414,,
2020-01-07 17:07:55.762,,15432517517.812635,
2020-01-07 17:32:13.301,,,4288265797.4001317
2020-01-07 18:02:38.105,143686817979.72687,,
2020-01-07 18:05:12.604,,15561713766.348253,
2020-01-07 18:45:13.908,,,4304205464.804389
2020-01-07 19:00:42.570,145789245236.56497,,
2020-01-07 19:04:55.594,,15582281827.177652,
2020-01-07 19:45:46.354,,,4287967292.5464253
2020-01-07 20:04:41.923,146056824234.04245,,
2020-01-07 20:04:54.952,,15643601578.900793,
2020-01-07 20:47:29.957,,,4288356138.6991334
2020-01-07 21:02:38.656,147136135719.38315,,
2020-01-07 21:02:55.495,,15715519501.26198,
2020-01-07 21:39:41.110,,,4277982707.543452
2020-01-07 22:02:57.715,145929022399.25995,,
2020-01-07 22:04:25.562,,15590584274.610706,
2020-01-07 22:29:35.069,,,4277807213.388931
2020-01-07 23:04:45.968,145676914495.95526,,
2020-01-07 23:07:42.244,,15509485840.46973,
2020-01-07 23:40:22.671,,,4291406937.5485044
2020-01-08 00:05:21.380,,15656491188.064734,
2020-01-08 00:09:50.171,147851229917.9929,,
2020-01-08 00:40:18.802,,,4309071001.829729
2020-01-08 01:07:35.359,152162423435.69107,,
2020-01-08 01:12:37.764,,15992702754.341883,
2020-01-08 01:47:27.915,,,4274332253.6187983
2020-01-08 02:00:22.214,,15913112328.612879,
2020-01-08 02:04:21.266,151359659881.65424,,
2020-01-08 02:39:02.813,,,4279742941.130631
2020-01-08 03:09:54.669,149500114252.09058,,
2020-01-08 03:09:58.163,,15732953178.391445,
2020-01-08 03:40:42.970,,,4283520589.8620334
2020-01-08 04:10:17.823,150471947769.74985,,
2020-01-08 04:12:05.471,,15784655799.265778,
2020-01-08 04:39:02.337,,,4277182677.895622
2020-01-08 05:05:30.125,150900000139.24442,,
2020-01-08 05:05:31.539,,15836041870.175089,
2020-01-08 05:19:52.611,,,4282580015.8378115
2020-01-08 06:07:51.148,,15788861990.154076,
2020-01-08 06:08:58.460,151089241843.1293,,
2020-01-08 06:19:54.565,,,4287939719.4221745
2020-01-08 07:07:47.713,,15831001209.66643,
2020-01-08 07:09:01.836,151069298943.74634,,
2020-01-08 07:39:17.298,,,4283938594.2249837
2020-01-08 08:09:04.692,,15666299021.662367,
2020-01-08 08:09:08.342,150199164080.43716,,
2020-01-08 08:34:57.860,,,4292843131.3810716
2020-01-08 09:09:01.098,150637455994.30518,,
2020-01-08 09:09:08.371,,15695810626.60378,
2020-01-08 09:34:33.864,,,4284055210.9365206
2020-01-08 10:04:25.251,150387865689.47717,,
2020-01-08 10:09:43.818,,15627247930.875517,
2020-01-08 10:44:23.172,,,4287261727.882015
