,bitcoin,ethereum,tether
2022-07-07 13:01:01.510,,,0.9994687277501628
2022-07-07 14:02:17.965,,1197.1119471064508,
2022-07-07 14:02:20.425,,,1.0007154383113313
2022-07-07 14:02:30.989,20538.096130959682,,
2022-07-07 15:00:52.537,20947.11286917559,,
2022-07-07 15:00:53.649,,1225.7518170206872,
2022-07-07 15:02:18.814,,,1.000553302956704
2022-07-07 16:00:41.894,,1219.3404929192955,
2022-07-07 16:02:41.030,20883.497396938496,,
2022-07-07 16:03:04.372,,,1.000301466770363
2022-07-07 17:00:22.832,,,1.0024765158065425
2022-07-07 17:00:22.997,21126.235081356237,,
2022-07-07 17:02:32.398,,1235.103893719123,
2022-07-07 18:02:00.368,20907.32805928315,,
2022-07-07 18:02:18.228,,1222.011086074851,
2022-07-07 18:02:37.096,,,1.0001753342139121
2022-07-07 19:00:16.043,,1232.7252741446507,
2022-07-07 19:00:22.996,21328.690353792896,,
2022-07-07 19:02:51.955,,,0.9971565573589435
2022-07-07 20:00:50.864,,1251.1652627091173,
2022-07-07 20:00:58.139,,,1.0006755511807663
2022-07-07 20:01:53.628,21790.773518813978,,
2022-07-07 21:01:04.742,,1235.0835320978497,
2022-07-07 21:02:07.743,21612.607612001564,,
2022-07-07 21:03:19.141,,,1.0001666005508199
2022-07-07 22:00:09.440,,,1.0004642225945966
2022-07-07 22:00:43.348,,1237.5543814518614,
2022-07-07 22:01:54.758,21650.057280687386,,
2022-07-07 23:00:40.524,21607.390054173018,,
2022-07-07 23:01:02.453,,,0.9998131164426406
2022-07-07 23:01:16.689,,1226.758465565483,
2022-07-08 00:01:11.149,,,1.0009280890702419
2022-07-08 00:01:48.034,21660.596837075183,,
2022-07-08 00:02:41.562,,1240.3784056617153,
2022-07-08 01:01:45.032,,,1.0000329547425848
2022-07-08 01:01:49.819,21700.661958054996,,
2022-07-08 01:01:55.281,,1240.6680921966645,
2022-07-08 02:00:14.982,22090.87961546072,,
2022-07-08 02:00:32.152,,1260.4562356508227,
2022-07-08 02:00:44.006,,,0.9994170848639622
2022-07-08 03:00:23.912,,1251.1310830747984,
2022-07-08 03:00:31.191,21971.235646945777,,
2022-07-08 03:01:20.599,,,1.000913325630476
2022-07-08 04:02:53.191,,,0.9999382783844912
2022-07-08 04:03:02.940,22109.67363877527,,
2022-07-08 04:03:04.240,,1258.3355462142758,
2022-07-08 05:00:40.368,22014.245542407196,,
2022-07-08 05:02:09.394,,1254.666482940526,
2022-07-08 05:02:35.954,,,0.9999464553283327
2022-07-08 06:00:17.660,21842.70913915478,,
2022-07-08 06:01:40.020,,,1.0012778713202648
2022-07-08 06:02:27.522,,1247.983667062328,
2022-07-08 07:00:13.985,21813.312685546796,,
2022-07-08 07:00:34.289,,1243.8592391862674,
2022-07-08 07:02:14.014,,,0.9995813774771416
2022-07-08 08:01:25.476,,,1.0000542395815553
2022-07-08 08:01:42.579,,1242.1430954828343,
2022-07-08 08:01:42.867,21786.399825685054,,
2022-07-08 09:00:26.893,,,1.0008286689560664
2022-07-08 09:00:43.904,21585.812034906055,,
2022-07-08 09:00:55.367,,1225.0865257922665,
2022-07-08 10:00:59.074,21521.39818631934,,
2022-07-08 10:01:51.339,,1214.6248326142997,
2022-07-08 10:02:09.401,,,1.0004777206649644
2022-07-08 11:00:22.282,21631.12735937468,,
2022-07-08 11:00:42.453,,,1.0012028569770461
2022-07-08 11:02:10.193,,1219.6362963515116,
2022-07-08 12:00:17.446,,1223.512777008754,
2022-07-08 12:01:46.623,21600.139635754807,,
2022-07-08 12:02:27.969,,,1.0016213688354938
2022-07-08 13:00:57.315,21389.27322210774,,
2022-07-08 13:01:00.742,,,1.0020262646074727
2022-07-08 13:01:15.332,,1210.42270876302,
2022-07-08 14:00:42.902,,,1.0004043569868928
2022-07-08 14:01:34.240,,1201.6546537140332,
2022-07-08 14:02:04.841,21293.230606876863,,
2022-07-08 15:00:51.491,,1226.883045143721,
2022-07-08 15:01:47.556,,,0.9990200599384592
2022-07-08 15:01:58.477,21718.47764238901,,
2022-07-08 16:02:29.436,,1235.9744114294658,
2022-07-08 16:02:30.423,21959.778459020177,,
2022-07-08 16:02:40.283,,,0.9988443814507099
2022-07-08 17:00:51.211,,,0.9996161191751688
2022-07-08 17:00:57.379,,1222.7594288706478,
2022-07-08 17:01:16.608,21717.190731035666,,
2022-07-08 18:00:24.194,,1226.0145253551304,
2022-07-08 18:00:56.468,,,0.9986026857094407
2022-07-08 18:02:01.688,21747.768704764836,,
2022-07-08 19:01:59.523,,1231.5651529946572,
2022-07-08 19:02:43.522,,,1.0023383367615828
2022-07-08 19:03:00.804,21786.072601565334,,
2022-07-08 20:00:57.972,21809.650940226453,,
2022-07-08 20:01:54.696,,,0.9998001533611641
2022-07-08 20:02:42.796,,1240.9672089980127,
2022-07-08 21:00:25.494,,,1.000254828595888
2022-07-08 21:00:48.920,,1243.8714410510515,
2022-07-08 21:01:16.078,21871.75322905647,,
2022-07-08 22:00:59.677,,,0.9992943352590191
2022-07-08 22:01:24.144,21777.87384201648,,
2022-07-08 22:01:57.342,,1235.511219465026,
2022-07-08 23:01:06.839,21766.456666588747,,
2022-07-08 23:03:00.895,,,1.000050820987928
2022-07-08 23:03:03.634,,1231.5180245869658,
2022-07-09 00:00:38.513,,,1.0001085408215473
2022-07-09 00:01:22.455,,1224.2193343721656,
2022-07-09 00:02:12.119,21767.370195790587,,
2022-07-09 01:01:13.139,21621.558295719104,,
2022-07-09 01:01:13.156,,1215.0991273373404,
2022-07-09 01:03:49.979,,,1.0037258298452256
2022-07-09 02:01:29.352,21511.65655197816,,
2022-07-09 02:02:33.192,,1212.7580208835707,
2022-07-09 02:03:44.011,,,1.0004855168666285
2022-07-09 03:01:05.163,,1213.4410884837798,
2022-07-09 03:01:07.737,21545.26343718359,,
2022-07-09 03:03:35.324,,,0.9997214263690292
2022-07-09 04:00:41.228,21525.335010981828,,
2022-07-09 04:01:12.521,,1211.9674248139577,
2022-07-09 04:03:44.144,,,1.000579140282101
2022-07-09 05:00:37.694,,1217.016390037367,
2022-07-09 05:02:05.824,21566.584356281757,,
2022-07-09 05:03:43.626,,,1.0003002050854393
2022-07-09 06:02:05.424,21535.307082129028,,
2022-07-09 06:02:06.306,,1214.9216400952134,
2022-07-09 06:03:46.157,,,1.0008044431964975
2022-07-09 07:00:41.076,,1218.6520852316382,
2022-07-09 07:00:59.050,21564.53556946273,,
2022-07-09 07:03:34.248,,,1.0000576757413726
2022-07-09 08:00:19.693,21631.779465458814,,
2022-07-09 08:01:15.146,,1223.225466533538,
2022-07-09 08:03:45.598,,,0.999190172986907
2022-07-09 09:00:37.780,21691.227236501356,,
2022-07-09 09:00:54.823,,1225.2750333701654,
2022-07-09 09:03:44.211,,,0.9998509138716665
2022-07-09 10:00:40.629,21635.530603894633,,
2022-07-09 10:01:13.300,,1218.955664443351,
2022-07-09 10:01:36.427,,,1.0001223582503564
2022-07-09 11:01:00.032,,,1.0003340420912574
2022-07-09 11:01:15.055,21724.83225111394,,
2022-07-09 11:01:32.747,,1224.7996753954337,
2022-07-09 12:00:09.034,,,0.9997249373295362
2022-07-09 12:00:51.306,21687.00532924347,,
2022-07-09 12:01:02.140,,1216.897519739527,
2022-07-09 13:01:23.176,,,1.000959903036051
2022-07-09 13:02:21.232,,1215.4908062798772,
2022-07-09 13:02:33.785,21541.14022534472,,
2022-07-09 14:00:38.445,,1215.026304008666,
2022-07-09 14:01:36.297,,,1.0003218019993867
2022-07-09 14:02:04.242,21569.021222494728,,
2022-07-09 15:00:04.403,21640.42303553229,,
2022-07-09 15:00:16.948,,1217.072732152017,
2022-07-09 15:01:13.981,,,0.9998401799949455
2022-07-09 16:02:22.298,,,1.0016832439052334
2022-07-09 16:02:39.877,,1218.0271115051492,
2022-07-09 16:02:55.143,21616.217288364616,,
2022-07-09 17:01:10.740,,,1.0015604429255032
2022-07-09 17:02:18.290,,1223.8971839385351,
2022-07-09 17:02:22.401,21669.659282299916,,
2022-07-09 18:00:20.019,,1226.2244456611943,
2022-07-09 18:00:39.084,21851.62314659787,,
2022-07-09 18:00:45.884,,,0.9994871483774229
2022-07-09 19:00:34.596,,1227.2956013282007,
2022-07-09 19:00:50.225,,,1.001542037091339
2022-07-09 19:02:38.134,21746.994552607975,,
2022-07-09 20:00:12.012,,,1.0006277765228253
